CIF,Núm. inscripció,Nom societat,Data constitució,CCAE,Descripció CCAE,Sector,Adreça,CP,Municipi,Comarca,Província,Capital social inicial,Valor nom. Acc. Part.,Núm. total acc/part,Socis,Sòcies (dones),Socis no treballadors,Sòcies no treballadores (dones),Persones jurídiques privades,Persones jurídiques públiques
A60281730,1247,"SELIND MONTAJES, SAL",30/04/1993,[ 4322 ],"Lampisteria, instal·lacions de calefacció i aire condicionat",CONSTRUCCIÓ,"CTRA. DE LA ROCA Km. 5,5 Pis 1R Porta LOC",[ 08924 ],Santa Coloma De Gramenet,Barcelonès,BARCELONA,6011924,601,10003,4,3,0,0,0,0
A60284544,1260,"M.B.MONIA BOSCHETTI, SAL",21/05/1993,[ 4618 ],Intermediaris del comerç especialitzat en la venda d'altres productes,SERVEIS,C. FRANCESC MORAGAS núm. 56 Pis ÀTIC Porta 1A,[ 08901 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,6010121,601,1000,2,2,0,0,0,0
A58355587,248,"GRUP NOU, SAL",11/06/1987,[ 748 ],Activitats empresarials diverses,SERVEIS,C. MUNTANER núm. 475,[ 08021 ],Barcelona,Barcelonès,BARCELONA,6011323,100189,60,2,2,0,0,0,0
A08805475,476,"METALÚRGICA VALLESANA, SAL",07/12/1987,[ 2550 ],"Forja, estampació i embotició de metalls; pulverimetal·lúrgia",INDÚSTRIA,RBLA. CATALUNYA núm. 54,[ 08007 ],Barcelona,Barcelonès,BARCELONA,4002741,601,666,37,36,1,0,0,0
A58236696,479,"MONTAJES INDUSTRIALES DEL VIDRIO Y ALUMINIO CATALAN, SAL",09/12/1987,[ 2562 ],Enginyeria mecànica general per compte d'altri,INDÚSTRIA,C. LLULL núm. 385 Pis 3R Porta 1A,[ 08019 ],Barcelona,Barcelonès,BARCELONA,601012,601,1000,2,2,0,0,0,0
A58619446,823,"HEINDECO, SAL",23/02/1989,[ 2573 ],Fabricació d'eines,INDÚSTRIA,C. ALFONSO XII núm. S/N Bloc ROMA Pis LOCAL Porta B-C,[ 08912 ],Badalona,Barcelonès,BARCELONA,3606073,3005,1200,3,3,1,0,0,0
A60835246,1542,"DISK GRAFIC, SAL",08/06/1995,[ 721 ],Consulta d'equips informàtics,SERVEIS,C. BALCELLS núm. 40,[ 08024 ],Barcelona,Barcelonès,BARCELONA,6010121,601,10000,2,1,1,0,0,0
B62199005,2945,"SISTEMAS INVESTMON, SLL",30/03/2000,[ 8030 ],Activitats d'investigació,SERVEIS,C. DAORA núm. 2-4-6 Esc. 3 Pis BAIXOS Porta 1A,[ 08980 ],Sant Feliu De Llobregat,Baix Llobregat,BARCELONA,301107,601,501,1,1,0,0,0,0
A60354552,1298,"INSTALACIONES TELEFÓNICAS VIC, SAL",09/09/1993,[ 4399 ],Altres activitats especialitzades de la construcció ncaa,CONSTRUCCIÓ,AV. GENERALITAT núm. 3,[ 08570 ],Torelló,Osona,BARCELONA,6010121,3005,2000,2,1,1,1,0,0
A43218551,974,"VAL ENDAVANT, SAL",05/02/1990,[ 1419 ],Confecció d'altres tipus de peces de vestir i accessoris,INDÚSTRIA,"C. BONAVISTA, C/ 3 núm. 69",[ 43001 ],Tarragona,Tarragonès,TARRAGONA,60101,601,100,4,4,1,0,0,0
B62908777,4608,"SOBRINO-BERGILLOS-SALA, SLL",02/09/2002,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,C. GIRONA núm. 73,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,3030,101,300,1,0,0,0,0,0
A59828178,1080,"SUMINISTROS PROFESIONALES DEL RAMO TEXTIL, SAL",17/10/1991,[ 1330 ],Acabament de tèxtils,INDÚSTRIA,C. PARIS núm. 132,[ 08036 ],Barcelona,Barcelonès,BARCELONA,6010121,601,10000,23,23,1,1,0,0
B62241567,3014,"PLANELEC, SLL",19/05/2000,[ 742 ],"Serveis tècnics d'arquitectura i enginyeria, i altres activitats relacionades amb l'assessorament tècnic",SERVEIS,C. PEP VENTURA núm. 20,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,300506,601,100,1,1,1,1,0,0
B61841177,2412,"ANTOCIGAR, SLL",20/04/1999,[ 553 ],Restaurants,SERVEIS,PG. MARAGALL núm. 176 Pis LOCAL,[ 08027 ],Barcelona,Barcelonès,BARCELONA,306516,601,510,2,0,1,0,0,0
B62297429,3197,"MATIC SYSTEMS, SLL",27/09/2000,[ 52488 ],Altres tipus de comerç al detall,SERVEIS,C. ARC DE SANT MARTÍ núm. 49 Pis 2N Porta 1A,[ 08032 ],Barcelona,Barcelonès,BARCELONA,306516,601,510,1,1,1,0,0,0
A25054222,66,"TOSTAURAN, SAL",08/01/1987,[ 513 ],"Comerç a l'engròs de productes alimentaris, begudes i tabac",SERVEIS,C. PANERA núm. 4,[ 25002 ],Lleida,Segrià,LLEIDA,2404048,601,400,2,2,0,0,0,0
B61531083,1808,"INSTRUMENTS DE COMUNICACIÓ GRAFICA COUSINS, SLL",11/02/1998,[ 1813 ],Activitats de preimpressió i de preparació de suports,INDÚSTRIA,AV. MARE DE DEU DE MONTSERRAT núm. 167 Pis LOCAL,[ 08026 ],Barcelona,Barcelonès,BARCELONA,300506,601,500,2,2,0,0,0,0
B62055249,2691,"RCV TECMO, SLL",04/11/1999,[ 3109 ],Fabricació d'altres tipus de mobles,INDÚSTRIA,pi. TOMÀS VILADOMIU núm. S/N Polígon ILLA SUD,[ 08650 ],Sallent,Bages,BARCELONA,306516,601,510,1,1,1,1,0,0
B62416946,3480,"REFORMAS Y TOLDOS SUR-TOM, SLL",01/03/2001,[ 4121 ],Construcció d'edificis residencials,CONSTRUCCIÓ,C. GRAN VIA núm. 26 Pis LOCAL Porta 1,[ 08930 ],Sant Adrià De Besòs,Barcelonès,BARCELONA,300506,601,500,3,0,0,0,0,0
A61014064,1589,"ALSINA FAMTRIPS, SAL",13/02/1996,[ 7911 ],Activitats de les agències de viatges,SERVEIS,gv DE LES CORTS CATALANES núm. 564 Pis 5È Porta 2A,[ 08011 ],Barcelona,Barcelonès,BARCELONA,6010121,601,10000,2,1,2,1,0,0
B61536769,1820,"KOLY COMMODITIES, SLL",13/02/1998,[ 4619 ],Intermediaris del comerç de productes diversos,SERVEIS,C. JAUME BALMES núm. 15 Pis ENTL. Porta 1A,[ 17002 ],Girona,Gironès,GIRONA,1202024,601,200,1,1,1,1,0,0
B61723128,2097,"AHIDRA SERVICIOS DE INGENIERIA AMBIENTAL, SLL",17/09/1998,[ 742 ],"Serveis tècnics d'arquitectura i enginyeria, i altres activitats relacionades amb l'assessorament tècnic",SERVEIS,C. ORFEBRERIA núm. 24,[ 08184 ],Palau-Solità I Plegamans,Vallès Occidental,BARCELONA,4146984,30051,138,1,1,1,0,0,0
A08969123,455,"INNOVACIONES Y DESARROLLOS DEL PLASTICO (INPLASAL), SAL",26/11/1987,[ 2229 ],Fabricació d'altres productes de matèries plàstiques,INDÚSTRIA,C. SANTA BARBARA núm. 84,[ 08915 ],Badalona,Barcelonès,BARCELONA,22536151,601,37497,15,14,0,0,0,0
B61908968,2497,"PSICOLOGIA Y QUIROMASAJE CORNELLA, SLL",18/06/1999,[ 85141 ],Activitats sanitàries de professionals independents (excepte els metges),SERVEIS,C. MARIA AURÈLIA CAMPMANY núm. 14 Pis 2N Porta 1A,[ 08940 ],Cornellà De Llobregat,Baix Llobregat,BARCELONA,300506,3005,100,1,1,1,1,0,0
B62172069,3077,"GINE-CAR ANGEL, SLL",27/06/2000,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,C. OLZINELLAS núm. 16,[ 08014 ],Barcelona,Barcelonès,BARCELONA,301107,601,501,1,1,1,0,0,0
A43514371,1925,"MACYR 6, SAL",06/05/1998,[ 2924 ],Fabricació d'altres tipus de maquinària d'ús general,INDÚSTRIA,pi.  Polígon FRANCOLÍ Parcel·la 19 Nau 17,[ 43006 ],Tarragona,Tarragonès,TARRAGONA,6010121,601,24000,5,0,0,0,0,0
B25415522,2362,"EQUIP XXI ASSESSORS, SLL",19/03/1999,[ 741 ],"Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...",SERVEIS,C. PIRINEUS núm. S/N,[ 25006 ],Lleida,Segrià,LLEIDA,601012,60101,10,2,1,1,0,0,0
B61686275,2029,"PERRUQUERIA RINTXOS, SLL",20/07/1998,[ 9602 ],Perruqueria i altres tractaments de bellesa,SERVEIS,C. ESTEVE GARRELL núm. 2 Pis TENDA Porta 1,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,301107,601,501,1,1,1,0,0,0
B17590571,2555,"MONTSERRAT CONFORT, SLL",28/07/1999,[ 4615 ],"Intermediaris del comerç de mobles, articles per a la llar i ferreteria",SERVEIS,C. BARCELONA núm. 168,[ 17001 ],Girona,Gironès,GIRONA,304713,301,1014,1,1,1,0,0,0
A59080093,1003,"CANDALIA, SAL",08/05/1990,[ 524 ],Altres tipus de comerç al detall d'articles nous en establiments especialitzats,SERVEIS,RBLA. CATALUNYA núm. 54,[ 08007 ],Barcelona,Barcelonès,BARCELONA,4207085,601,7000,2,2,2,1,0,0
B62802046,4348,"ANTIQÜA DE GRACIA, SLL",16/04/2002,[ 4759 ],"Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats",SERVEIS,AV. PRÍNCEP D'ASTURIES núm. 57,[ 08012 ],Barcelona,Barcelonès,BARCELONA,3010,1,3010,1,1,1,1,0,0
A43352046,1221,"DICHER, SAL",18/03/1993,[ 1072 ],Fabricació de galetes i productes de fleca i pastisseria de llarga durada,INDÚSTRIA,C. VELAZQUEZ núm. 26,[ 43870 ],Amposta,Montsià,TARRAGONA,6010121,60101,100,2,1,1,0,0,0
B61950713,2481,"SHOOTING SERVEIS FOTOGRAFICS, SLL",02/06/1999,[ 7420 ],Activitats de fotografia,SERVEIS,C. AULESTIA I PIJOAN núm. 28 Pis BAIXOS,[ 08012 ],Barcelona,Barcelonès,BARCELONA,3030,999,303,1,1,1,0,0,0
A60466265,1388,"J.F. FORMULARIOS, SAL",28/03/1994,[ 1712 ],Fabricació de paper i de cartó,INDÚSTRIA,C. AGRICULTURA núm. 21,[ 08840 ],Viladecans,Baix Llobregat,BARCELONA,28187468,50,3200,5,0,0,0,0,18
A58837006,912,"CIMENTACIONES Y ESTRUCTURAS LLORENTE MIRON, SAL",08/06/1989,[ 4399 ],Altres activitats especialitzades de la construcció ncaa,CONSTRUCCIÓ,C. MARAGALL núm. 24 Pis 3R Porta 6A,[ 08291 ],Ripollet,Vallès Occidental,BARCELONA,360607,601,60,3,3,0,0,0,0
A58892407,724,"FORN DE SANT MARC, SAL",23/09/1988,[ 1071 ],Fabricació de pa i de productes de fleca i pastisseria frescos,INDÚSTRIA,C. ELCANO núm. 17 Pis BAIXOS,[ 08004 ],Barcelona,Barcelonès,BARCELONA,300506,601,50,2,1,1,1,0,0
B17607276,2857,"PLANTACIO CAMP SUMELL, SLL",16/02/2000,[ 0130 ],Vivers i conreus de plantes ornamentals,AGRICULTURA,C. GOYA núm. 14 Pis 1R,[ 17200 ],Palafrugell,Baix Empordà,GIRONA,300506,601,50,1,1,1,1,0,0
B62007018,2666,"INTER MEDIA MUSIC HALL, SLL",20/10/1999,[ 553 ],Restaurants,SERVEIS,C. VILLA núm. 1 Pis 3R Porta 7A,[ 08190 ],Sant Cugat Del Vallès,Vallès Occidental,BARCELONA,301107,601,501,1,1,1,0,0,0
A60048741,1122,"PRISMA 2000, SAL",08/04/1992,[ 74 ],Altres activitats empresarials,SERVEIS,C. PUIG I VALLS núm. 14 Pis LOCAL Porta 2,[ 08028 ],Barcelona,Barcelonès,BARCELONA,6010121,601,1000,2,2,1,0,0,0
B61692489,2085,"MATARO PLUS, SLL",14/09/1998,[ 5610 ],Restaurants i establiments de menjars,SERVEIS,CAMÍ RAL núm. 341 Pis BAIXOS,[ 08301 ],Mataró,Maresme,BARCELONA,360607,601,600,1,1,1,0,0,0
B61915278,2406,"VERDAGUER MARTIN AGENCIA DE SEGUROS, SLL",16/04/1999,[ 66011 ],Entitats d'assegurances privades,SERVEIS,C. WILSON núm. 68 Pis 1R,[ 08223 ],Terrassa,Vallès Occidental,BARCELONA,360607,601,60,1,1,1,0,0,0
N00002030,424,"HERMANS, SAL",11/11/1987,[ 2561 ],Tractament i revestiment de metalls,INDÚSTRIA,C. RECARED núm. 2-4,[ 08005 ],Barcelona,Barcelonès,BARCELONA,601012,3005,200,2,2,0,0,0,0
B62570189,3689,"PEIXATERIA GERMANES COSTA, SLL",08/06/2001,[ 4723 ],Comerç al detall de peix i marisc en establiments especialitzats,SERVEIS,C. SPORT núm. 20,[ 08740 ],Sant Andreu De La Barca,Baix Llobregat,BARCELONA,3030,999,303,0,2,0,1,0,0
A59201004,1121,"TOPBER, SAL",30/03/1992,[ 742 ],"Serveis tècnics d'arquitectura i enginyeria, i altres activitats relacionades amb l'assessorament tècnic",SERVEIS,CTRA. COMARCAL 1411 Km. 91,[ 08699 ],Cercs,Berguedà,BARCELONA,6010121,601,1000,2,2,3,2,0,0
B61455051,1747,"DESARROLLO APLICACIONES MARKETING, SLL",01/12/1997,[ 51382 ],Comerç a l'engròs d'altres productes alimentaris,SERVEIS,C. FONERIA núm. 8 Pis 3R Porta 1A,[ 08240 ],Manresa,Bages,BARCELONA,306516,601,510,1,1,1,0,0,0
A58443409,543,"INFORMÀTICA DEL VALLÈS, SAL",04/02/1988,[ 514 ],"Comerç a l'engròs de productes de consum, diferents dels alimentaris",SERVEIS,CTRA. RIBES núm. 97 Pis 2N,[ 08520 ],"Franqueses Del Vallès, Les",Vallès Oriental,BARCELONA,601012,601,100,2,1,1,1,0,0
A58234188,74,"TRESMODE, SAL",14/01/1987,[ 3109 ],Fabricació d'altres tipus de mobles,INDÚSTRIA,C. SANT MARIÀ núm. 13-15,[ 08221 ],Terrassa,Vallès Occidental,BARCELONA,661113,601,1100,6,5,0,0,0,0
B25501529,4592,"DECORACION MAZAHULLES, SLL",23/08/2002,[ 4759 ],"Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats",SERVEIS,C. JAUME II núm. 1 Pis LOCAL Porta 7,[ 25001 ],Lleida,Segrià,LLEIDA,6010,5,1202,1,1,2,0,0,0
B61409488,1675,"JHL CONTEC, SLL",16/07/1997,[ 6202 ],Activitats de consultoria sobre tecnologies de la informació,SERVEIS,C. CALABRIA núm. 202 Pis 4T Porta A,[ 08029 ],Barcelona,Barcelonès,BARCELONA,306516,601,510,1,1,1,0,0,0
B62120605,3428,"MONFRESC, SLL",07/02/2001,[ 4721 ],Comerç al detall de fruites i hortalisses en establiments especialitzats,SERVEIS,C. SANT MARTÍ DE L'ERM núm. 31,[ 08970 ],Sant Joan Despí,Baix Llobregat,BARCELONA,301107,601,501,1,1,1,0,0,0
B62463344,3457,"COMERCIAL BAIDES XXI, SLL",19/02/2001,[ 513 ],"Comerç a l'engròs de productes alimentaris, begudes i tabac",SERVEIS,C. PINTOR FORTUNY núm. 34 Pis BAIXOS,[ 08301 ],Mataró,Maresme,BARCELONA,3030,499,606,2,0,0,2,0,0
B43448448,1918,"L'ESTRUC PARK, SLL",28/04/1998,[ 4641 ],Comerç a l'engròs de tèxtils,SERVEIS,CAMÍ D'ALBINYANA Km. 1,[ 43884 ],Bonastre,Baix Penedès,TARRAGONA,360607,601,60,1,1,1,0,0,0
B61757449,2152,"BARNAFLOR 2000, SLL",22/10/1998,[ 0161 ],Activitats de suport a l'agricultura,AGRICULTURA,C. SANT CRIST núm. S/N,[ 08340 ],Vilassar De Mar,Maresme,BARCELONA,360607,601,600,1,1,1,0,0,0
A60152360,1173,"PESCADOS Y MARISCOS HIREMAR, SAL",02/11/1992,[ 522 ],"Comerç al detall d'aliments, begudes i tabac en establiments especialitzats",SERVEIS,NC MERCAT MUNICIPAL CAN SERRA núm. PARADA,[ 08906 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,6010121,601,1000,2,2,0,0,0,0
B61825501,2319,"CERRAMIENTOS TIANA, SLL",25/02/1999,[ 2512 ],Fabricació de tancaments metàl·lics,INDÚSTRIA,C. TORRENT núm. S/N,[ 08391 ],Tiana,Maresme,BARCELONA,300506,601,500,2,1,0,0,0,0
A60188026,1269,"CEPRAT, SAL",21/06/1993,[ 4121 ],Construcció d'edificis residencials,CONSTRUCCIÓ,urb. LES GINESTERES núm. 95,[ 08310 ],Argentona,Maresme,BARCELONA,6010121,1202,5000,3,2,0,0,0,0
A58919051,841,"FAMESCO, SAL",08/03/1989,[ 1812 ],Altres activitats d'impressió i arts gràfiques,INDÚSTRIA,C. BALMES núm. 195 Pis 3R Porta 4A,[ 08006 ],Barcelona,Barcelonès,BARCELONA,14165254,601,23569,7,7,0,0,0,0
A58777632,702,"ELÈCTRICA TORRENTE, SAL",29/07/1988,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,C. RIUS I CARRIÓ núm. 42,[ 08904 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,601012,601,100,2,2,0,0,0,0
A58613209,848,"MOBILIARIO INTERIOR, SAL",15/03/1989,[ 3109 ],Fabricació d'altres tipus de mobles,INDÚSTRIA,pi.  núm. S/N Polígon CAN CASTELL,[ 08420 ],Canovelles,Vallès Oriental,BARCELONA,649093,5409,120,2,2,0,0,0,0
A58322553,122,"ESCUELA DE INSERCIÓN PROFESIONAL, SAL",23/02/1987,[ 802 ],Ensenyament secundari,SERVEIS,PL. PRAT DE LA RIBA núm. 35,[ 08017 ],Barcelona,Barcelonès,BARCELONA,60101,3005,20,2,1,1,0,0,0
A59339176,1014,"FRAPEMA, SAL",18/09/1990,[ 1623 ],"Fabricació d'altres estructures de fusta i peces de fusteria i ebenisteria per a la construcció, excepte els terres de fusta",INDÚSTRIA,PTGE. PARTICULAR CAN PARELLADA Pis LOCAL Porta K,[ 08901 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,6010121,601,10000,3,3,1,0,0,0
A60237542,1236,"INSTALACIONES E INGENIERIA ELECTRICA AMPLITEC, SAL",29/04/1993,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,C. PICASSO núm. 69 Pis BAIXOS,[ 08100 ],Mollet Del Vallès,Vallès Oriental,BARCELONA,6010121,601,10000,4,3,1,1,0,0
B62262290,3105,"TALLERES MEFRETOR, SLL",24/07/2000,[ 2562 ],Enginyeria mecànica general per compte d'altri,INDÚSTRIA,C. LEPANT núm. 74 Nau 4,[ 08223 ],Terrassa,Vallès Occidental,BARCELONA,301107,601,501,2,1,0,0,0,0
A58323619,160,"IDEA SOFTWARE, SAL",26/03/1987,[ 524 ],Altres tipus de comerç al detall d'articles nous en establiments especialitzats,SERVEIS,C. SANT MIQUEL núm. 55,[ 08911 ],Badalona,Barcelonès,BARCELONA,240405,1202,200,2,1,2,1,0,0
B61788428,2214,"CONSTRUCCIONS TOT-BE, SLL",01/12/1998,[ 45211 ],Construcció d'edificis,CONSTRUCCIÓ,C. GAMBÚS núm. 44 BIS Pis LOCAL,[ 08208 ],Sabadell,Vallès Occidental,BARCELONA,300506,601,4500,2,1,0,0,0,0
A60423118,1352,"MATERIAL TÈCNICO RUBI, SAL",17/01/1994,[ 516 ],Comerç a l'engròs de maquinària i equips,SERVEIS,gv DE LES CORTS CATALANES núm. 630 Pis 4T,[ 08007 ],Barcelona,Barcelonès,BARCELONA,6010121,601,10000,2,2,0,0,0,0
B17545922,2121,"ISAMEN 98, SLL",30/09/1998,[ 551 ],Hotels,SERVEIS,C. LA FONT núm. 7,[ 17256 ],Pals,Baix Empordà,GIRONA,300506,601,500,1,1,1,1,0,0
A58321662,152,"VIRROBAL, SAL",24/03/1987,[ 5630 ],Establiments de begudes,SERVEIS,C. LEPANT núm. 256,[ 08013 ],Barcelona,Barcelonès,BARCELONA,601012,601,100,2,1,1,0,0,0
B62871710,4467,"GESTSITGES, SLL",18/06/2002,[ 6920 ],"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",SERVEIS,CTRA. DE LES COSTES núm. 7 Pis BAIXOS Porta LOC,[ 08870 ],Sitges,Garraf,BARCELONA,3010,602,500,2,0,0,2,0,0
A60556438,1441,"HIGHTECH FINQUES, SAL",19/09/1994,[ 721 ],Consulta d'equips informàtics,SERVEIS,C. ALBERT EINSTEIN núm. S/N Bloc FORUM DE L Pis 3R,[ 08042 ],Barcelona,Barcelonès,BARCELONA,6010121,601,10000,2,1,1,0,0,0
A08192627,359,"TRANSO, SAL",02/10/1987,[ 45 ],Construcció,CONSTRUCCIÓ,C. LLIBERTAT núm. 16-18,[ 08800 ],Vilanova I La Geltrú,Garraf,BARCELONA,7512651,3005,2500,2,1,1,0,0,0
B61785846,2757,"TRABALON-GIMENO PASTISSERS, SLL",14/12/1999,[ 1071 ],Fabricació de pa i de productes de fleca i pastisseria frescos,INDÚSTRIA,C. ERMITA núm. 49,[ 08902 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,301107,601,501,2,1,0,0,0,0
A60495215,1399,"C.L.I. TRANS SPAIN, SAL",14/04/1994,[ 6024 ],Transport de mercaderies per carretera,SERVEIS,PG. SANLLEHÍ núm. S/N Nau 15,[ 08213 ],Polinyà,Vallès Occidental,BARCELONA,6010121,601,1000,3,2,1,0,0,0
A60238607,1273,"TROFEOS AURUM, SAL",28/06/1993,[ 524 ],Altres tipus de comerç al detall d'articles nous en establiments especialitzats,SERVEIS,C. VERGE DE LOURDES núm. 9 Pis BAIXOS,[ 08330 ],Premià De Mar,Maresme,BARCELONA,6010121,601,10000,2,1,1,0,0,0
A58248766,16,"ELECE, SAL",28/10/1986,[ 222 ],Arts gràfiques i activitats dels serveis que s'hi relacionen,INDÚSTRIA,C. GASÒMETRE núm. S/N,[ 08223 ],Terrassa,Vallès Occidental,BARCELONA,7362398,601,1225,5,5,0,0,0,0
A08962763,505,"COMPONENTES ELECTRÓNICOS DE L'HOSPITALET, SAL",11/01/1988,[ 2640 ],Fabricació de productes electrònics de consum,INDÚSTRIA,RBLA. MARINA núm. 488,[ 08907 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,18090464,601,30100,17,16,0,0,0,0
B61632246,1940,"INDEX SENYALITZACIO INTEGRAL D'ESPAIS, SLL",14/05/1998,[ 2790 ],Fabricació d'altres tipus de materials i equips elèctrics,INDÚSTRIA,AV. de la electricidad núm. 1-21 Bloc edifici Esc. europa Pis local 1-4,[ 08191 ],Rubí,Vallès Occidental,BARCELONA,360607,601,600,1,1,1,1,0,0
B63077846,4843,"CANTALLOPS-DIAZ, SLL",03/02/2003,[ 5630 ],Establiments de begudes,SERVEIS,C. BAILEN núm. 166 Pis BOTIGA Porta 2A,[ 08037 ],Barcelona,Barcelonès,BARCELONA,3006,3006,100,1,2,0,1,0,0
B62491550,3504,"NEW TANA, SLL",14/03/2001,[ 72210 ],Edició de programes informàtics,SERVEIS,C. TRAVESSERA DE DALT núm. 77 Pis ÀTIC Porta 1A,[ 08024 ],Barcelona,Barcelonès,BARCELONA,301107,1,501,1,1,1,0,0,0
B17525023,1741,"ASTUR SANT NARCIS, SLL",14/11/1997,[ 6810 ],Compravenda de béns immobiliaris per compte propi,SERVEIS,PL. CATALUNYA núm. 1-2 Pis 4T Porta 1A,[ 17002 ],Girona,Gironès,GIRONA,300506,601,50,1,1,1,1,0,0
A58297862,116,"3 D SISTEMAS, SAL",12/02/1987,[ 4651 ],"Comerç a l'engròs d'ordinadors, equips perifèrics i programes informàtics",SERVEIS,C. MADRAZO núm. 28 Pis BAIXOS,[ 08006 ],Barcelona,Barcelonès,BARCELONA,300506,3005,100,2,1,1,0,0,0
B61721031,2381,"FINCAS SELI, SLL",29/03/1999,[ 6831 ],Agents de la propietat immobiliària,SERVEIS,C. RECTORIA núm. 20,[ 08850 ],Gavà,Baix Llobregat,BARCELONA,301107,601,501,1,1,1,0,0,0
A17149485,678,"OLOTPLAST, SAL",28/06/1988,[ 2229 ],Fabricació d'altres productes de matèries plàstiques,INDÚSTRIA,CTRA. DE SANTA PAU núm. S/N,[ 17800 ],Olot,Garrotxa,GIRONA,360607,601,600,3,3,0,0,0,0
A43095090,343,"COMPAÑIA INDUSTRIAL TARRACONENSE, SAL",23/09/1987,[ 4618 ],Intermediaris del comerç especialitzat en la venda d'altres productes,SERVEIS,AV. PAÏSOS CATALANS núm. 169-173 Pis BAIXOS,[ 43205 ],Reus,Baix Camp,TARRAGONA,1803036,601,300,2,1,1,1,0,0
A59110809,987,"VIALS DEL MARESME, SAL",26/03/1990,[ 4313 ],Perforacions i sondatges,CONSTRUCCIÓ,bda. ESPEÑAS núm. 9,[ 08301 ],Mataró,Maresme,BARCELONA,16844566,601,28027,8,7,0,0,0,0
B61874079,2414,"EL REFUGI DEL PESCADOR, SLL",20/04/1999,[ 517 ],Altres tipus de comerç a l'engròs,SERVEIS,PL. INFANTS núm. 16 Pis BAIXOS,[ 08240 ],Manresa,Bages,BARCELONA,300506,601,500,1,1,1,0,0,0
B62525027,3631,"ASESORES DE SEGURIDAD ELECTRONICA, SLL",15/05/2001,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,C. COMTE D'URGELL núm. 188 Pis 1R Porta 1A,[ 08036 ],Barcelona,Barcelonès,BARCELONA,360607,10025,60,2,1,0,0,0,0
B25531278,5440,"DALMONTON'S, SLL",17/03/2004,[ 4776 ],"Comerç al detall de flors, plantes, llavors, fertilitzants, animals de companyia i aliments per a animals domèstics en establiments especialitzats",SERVEIS,C. ENRIC ARDERIU núm. 2 Pis 3R Porta 1A,[ 25005 ],Lleida,Segrià,LLEIDA,3024,6,504,2,0,0,2,0,0
A58279019,107,"FÁBRICA DE ALTAVOCES Y BAFLES, SAL",09/02/1987,[ 2640 ],Fabricació de productes electrònics de consum,INDÚSTRIA,C. SEVILLA núm. 6,[ 08740 ],Sant Andreu De La Barca,Baix Llobregat,BARCELONA,17348214,601,28865,2,2,0,0,0,0
A61193819,1620,"SANITARIOS Y COCINAS DIAGONAL, SAL",25/09/1996,[ 2512 ],Fabricació de tancaments metàl·lics,INDÚSTRIA,AV. DIAGONAL núm. 259 Pis BAIXOS,[ 08013 ],Barcelona,Barcelonès,BARCELONA,6010121,601,1000,2,1,1,0,0,0
A58628314,907,"RASEGAR, SAL",08/06/1989,[ 501 ],Venda de vehicles de motor,SERVEIS,AV. HOSPITAL MILITAR núm. 78-80,[ 08023 ],Barcelona,Barcelonès,BARCELONA,1202024,601,200,2,1,1,0,0,0
A58597634,774,"INTERVELOX, SAL",16/12/1988,[ 2594 ],Fabricació de perns i cargols,INDÚSTRIA,C. INDÚSTRIA núm. 15-17,[ 08120 ],"Llagosta, La",Vallès Oriental,BARCELONA,661113,601,1100,11,11,1,1,0,0
B60643657,1454,"PALOU-MOTLLES, SLL",13/10/1994,[ 291 ],"Fabricació de màquines, equips i materials mecànics",INDÚSTRIA,C. COLL DE LA MANYA núm. 23,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,12020242,601,1158,2,2,0,0,0,0
A59855635,1094,"GRIMOLER S.C.G., SAL",19/11/1991,[ 2599 ],Fabricació d'altres productes metàl·lics ncaa,INDÚSTRIA,C. ARQUÍMEDES núm. 7,[ 08930 ],Sant Adrià De Besòs,Barcelonès,BARCELONA,6010121,601,10000,3,2,0,0,0,0
