CIF,Núm. inscripció,Nom societat,Data constitució,CCAE,Descripció CCAE,Sector,Adreça,CP,Municipi,Comarca,Província,Capital social inicial,Valor nom. Acc. Part.,Núm. total acc/part,Socis,Sòcies (dones),Socis no treballadors,Sòcies no treballadores (dones),Persones jurídiques privades,Persones jurídiques públiques
B61907473,2449,"BOLLERIA URSULA, SLL",11/05/1999,[ 1071 ],Fabricació de pa i de productes de fleca i pastisseria frescos,INDÚSTRIA,C. RELLOTGE núm. 53 Pis BAIXOS,[ 08923 ],Santa Coloma De Gramenet,Barcelonès,BARCELONA,301107,2952,102,1,1,1,0,0,0
B61642567,2041,"13 TRAGALUZ, SLL",23/07/1998,[ 2711 ],"Fabricació de motors, transformadors i generadors elèctrics",INDÚSTRIA,C. ENRIC CASANOVAS núm. 7 Pis BAIXOS,[ 08016 ],Barcelona,Barcelonès,BARCELONA,450759,301,1500,1,1,1,1,0,0
B64899305,6864,"BRANE LABS, SLL",17/09/2008,[ 6209 ],Altres serveis relacionats amb les tecnologies de la informació,SERVEIS,C. TRAVAU núm. 63 Pis ÀTIC Porta 1,[ 08031 ],Barcelona,Barcelonès,BARCELONA,5388948,149693,36,3,0,0,0,0,0
B62022207,2603,"CENTRAL POBLE NOU DE TELECOMUNICACIONES INTEGRALES, SLL",03/09/1999,[ 4754 ],Comerç al detall d'electrodomèstics en establiments especialitzats,SERVEIS,C. FLUVIÀ núm. 141 Pis 3R Porta 1A,[ 08020 ],Barcelona,Barcelonès,BARCELONA,300506,601,500,2,1,1,0,0,0
A58788464,760,"EQUIPOS PARA AVICULTURA Y GANADERIA, SAL",21/11/1988,[ 2830 ],Fabricació de maquinària agrària i forestal,INDÚSTRIA,AV. VERGE DE MONTSERRAT núm. S/N Polígon S. PERE MOLANTA,[ 08734 ],Olèrdola,Alt Penedès,BARCELONA,601012,3005,200,2,1,1,0,0,0
A63333298,5421,"YIELD CONSULTANTS, SAL",24/02/2004,[ 741 ],"Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...",SERVEIS,C. DE L'ART núm. 71 Pis 1R Porta 3A,[ 08041 ],Barcelona,Barcelonès,BARCELONA,63000,1000,63,1,1,1,0,0,0
A17381419,1325,"ESPAIS DE LLEURE, SAL",25/11/1993,[ 55 ],Hoteleria,SERVEIS,veí. DE CANADAL núm. S/N,[ 17700 ],"Jonquera, La",Alt Empordà,GIRONA,6010121,60101,100,3,2,0,0,0,0
B62071840,3025,"ACABATS MONTAN, SLL",26/05/2000,[ 1330 ],Acabament de tèxtils,INDÚSTRIA,C. MOLÍ DEL VENT núm. 12 Pis BAIXOS,[ 08303 ],Mataró,Maresme,BARCELONA,301107,601,501,1,1,1,0,0,0
A58718321,660,"TEXTILS AIGUADORA, SAL",14/06/1988,[ 1310 ],Preparació i filatura de fibres tèxtils,INDÚSTRIA,C. SEGALERS núm. 139,[ 08261 ],Cardona,Bages,BARCELONA,43807772,601,7289,26,25,0,0,0,0
A60154853,1141,"ESTAMPADOS MAFE, SAL",20/07/1992,[ 1330 ],Acabament de tèxtils,INDÚSTRIA,C. ARGÜELLES núm. 33,[ 08301 ],Mataró,Maresme,BARCELONA,6010121,601,1000,2,2,0,0,0,0
A17156043,670,"CAN BORRELL, SAL",23/06/1988,[ 551 ],Hotels,SERVEIS,C. RETORN núm. 3,[ 17539 ],Meranges,Cerdanya,GIRONA,3606073,15025,240,3,2,0,0,0,0
B17549155,1906,"RESTAURANT CAL SANTPARE, SLL",08/04/1998,[ 5630 ],Establiments de begudes,SERVEIS,C. MAJOR núm. 2,[ 17536 ],Toses,Ripollès,GIRONA,315531,3005,105,1,1,1,0,0,0
B62402052,3424,"COMERCIAL HOSTELERA LEHU, SLL",06/02/2001,[ 553 ],Restaurants,SERVEIS,C. OLESA núm. 53,[ 08027 ],Barcelona,Barcelonès,BARCELONA,30144,1,3006,1,1,1,0,0,0
B63110506,5208,"TRABAJOS EN CARPINTERIA DEVAR, SLL",26/09/2003,[ 45421 ],Instal·lacions de fusteria i matèries plàstiques,CONSTRUCCIÓ,C. BONAVENTURA PUIG I PERUCHO núm. 2 Pis 5È Porta 3A,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,3006,1002,3006,2,0,1,0,0,0
B62015409,2595,"MONTSE I MARGA, SLL",25/08/1999,[ 80422 ],Acadèmies,SERVEIS,AV. 305 núm. 5 Pis TENDA Porta 1A,[ 08860 ],Castelldefels,Baix Llobregat,BARCELONA,300506,3005,100,1,1,1,1,0,0
A17124918,186,"TELEVUIT, SAL",14/04/1987,[ 4321 ],Instal·lacions elèctriques,CONSTRUCCIÓ,C. MONTSENY núm. 38,[ 17005 ],Girona,Gironès,GIRONA,6370728,63707,100,4,3,0,0,0,0
A43305705,1102,"DERJOMOBEL, SAL",16/01/1992,[ 3109 ],Fabricació d'altres tipus de mobles,INDÚSTRIA,C. BARCELONA núm. 65,[ 43560 ],"Sénia, La",Montsià,TARRAGONA,9015182,30051,300,2,1,2,1,0,0
B62603071,3784,"MAFERTIA, SLL",20/07/2001,[ 741 ],"Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...",SERVEIS,C. SANT JOSEP DE CALASSANÇ núm. 83,[ 08400 ],Granollers,Vallès Oriental,BARCELONA,3006,1,3006,1,1,0,1,0,0
A58785890,747,"ESTUCOS Y PINTURAS JUMAR, SAL",03/11/1988,[ 4334 ],Pintura i vidrieria,CONSTRUCCIÓ,C. AMÉRICA núm. 115 Pis 1R Porta 1A,[ 08924 ],Santa Coloma De Gramenet,Barcelonès,BARCELONA,120202,601,20,2,2,0,0,0,0
B43620913,4577,"BUFET JURIDIC TARRACO, SLL",16/08/2002,[ 741 ],"Activitats jurídiques, de comptabilitat, tenidoria de llibres, auditoria, assessoria fiscal, estudis de mercat i enquestes d'opinió pública ...",SERVEIS,C. UNIÓ núm. 12 Pis 1R Porta 2A,[ 43001 ],Tarragona,Tarragonès,TARRAGONA,3612,1,3612,2,0,2,2,0,0
