persones_jur_diques_p_bliques,persones_jur_diques_privades,s_cies_no_treballadores_dones,socis_no_treballadors,s_cies_dones,socis,n_m_total_acc_part,valor_nom_acc_part,capital_social_inicial,data_constituci,prov_ncia,comarca,municipi,cp,adre_a,sector,descripci_ccae,ccae,nom_societat,cif,n_m_inscripci
0,0,0,0,0,4,4000,1,4000,2021-03-29T00:00:00.000,GIRONA,Alt Empordà,Vilabertran (Vilabertran),[ 17760 ],PL. MONTURIOL núm. 1 Pis BX,CONSTRUCCIÓ,Construcció d'edificis residencials,[ 4121 ],"OBRES I REHABILITACIONS VILABERTRAN 2021, SLL",B42840967,7735
0,0,1,0,0,2,3000,1,3000,2019-12-20T00:00:00.000,BARCELONA,Baix Llobregat,"Corbera De Llobregat (Bon Repòs, El)",[ 08757 ],C. MIRADOR DEL TIBIDABO núm. 13,SERVEIS,Altres activitats de consultoria de gestió empresarial,[ 7022 ],"NEXE ACCIO EMPRESARIAL, SLL",B67452045,7729
0,0,0,0,2,1,42000,1,42000,2019-12-05T00:00:00.000,BARCELONA,Baix Llobregat,Olesa De Montserrat (Olesa De Montserrat),[ 08640 ],C. LLUIS PUIGJANER núm. 50 Pis 4 Porta 4,SERVEIS,"Comerç al detall de flors, plantes, llavors, fertilitzants, animals de companyia i aliments per a animals domèstics en establiments especialitzats",[ 4776 ],"PATAMIC ESPECIALISTAS EN MASCOTAS, SLL",B67541177,7728
0,0,0,0,1,1,1803,10,18030,2002-07-08T00:00:00.000,GIRONA,Selva,Vilobí D'Onyar,[ 17185 ],C. MADRENYS núm. 12,SERVEIS,"Comerç al detall d'aliments, begudes i tabac en establiments especialitzats",[ 522 ],"CAN VISTA PRIMA, SLL",B17706284,4491
0,0,0,1,1,1,3300,10,33000,2004-02-17T00:00:00.000,GIRONA,Gironès,Girona,[ 17007 ],C. FONTAJAU núm. 1 Pis LOCAL Porta 13,SERVEIS,Reparació d'aparells domèstics elèctrics,[ 52720 ],"GIROASISTEC, SLL",B17779455,5409
0,0,0,1,0,1,10000,15,6010121,1993-05-17T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08030 ],C. DE LES MONGES núm. 11 Pis BAIXOS,SERVEIS,Altres tipus de comerç al detall d'articles nous en establiments especialitzats,[ 524 ],"SUMINISTROS DUBLAN, SLL",B60237500,1256
0,0,0,0,2,1,3000,1,3000,2021-10-06T00:00:00.000,BARCELONA,Barcelonès,Barcelona (Barcelona),[ 08013 ],C. ROGER DE FLOR núm. 111 Pis 2 Porta 2,SERVEIS,Neteja general d'edificis,[ 8121 ],"VELLANI SERVICIOS Y SOLUCIONES, SLL",B06812101,7738
0,0,1,1,1,1,100,3005,300506,1999-12-15T00:00:00.000,BARCELONA,Bages,Sallent,[ 08650 ],CAMÍ CASETA D'EN CAMP núm. 15-21 Polígon BERENGUER-CABRIANES,CONSTRUCCIÓ,Pintura i vidrieria,[ 4334 ],"FUSINGLASS, SLL",B62089859,2758
0,0,0,0,0,4,100,2974,29740,2021-10-15T00:00:00.000,BARCELONA,Vallès Oriental,Cardedeu (Cardedeu),[ 08440 ],AV. REI EN JAUME núm. 119 Pis BX,CONSTRUCCIÓ,Instal·lacions elèctriques,[ 4321 ],"ELECTRICA FORTUNY I ASSOCIATS INSTAL·LACIONS, SLL",B16716763,7739
0,0,0,0,0,3,450,100,45000,2013-07-15T00:00:00.000,BARCELONA,Vallès Oriental,Granollers,[ 08401 ],C. ROSSELLÓ núm. 38,SERVEIS,Dipòsit i emmagatzematge,[ 5210 ],"LCY CONSULTORS, OPERADORS I EMMAGATZEMATGE LOGISTIC, SLL",B66076290,7501
0,0,0,0,38,143,4720,1,4720,2019-07-30T00:00:00.000,GIRONA,Selva,"Cellera De Ter, La (Cellera De Ter, La)",[ 17165 ],C. DR. CODINA núm. 30,INDÚSTRIA,Sacrifici de bestiar i conservació de carn,[ 1011 ],"TREBALLS CARNICS ASSOCIATS, SLL",B55352439,7725
0,0,0,1,0,2,28000,1,28000,2014-02-25T00:00:00.000,BARCELONA,Maresme,Dosrius,[ 08319 ],C. TIBIDABO núm. 14,SERVEIS,Activitats de programació informàtica,[ 6201 ],"LANV NET SOLUTIONS, SLL",B66223470,7551
