CIF;Núm. inscripció;Nom societat;Data constitució;CCAE;Descripció CCAE;Sector;Adreça;CP;Municipi;Comarca;Província;Capital social inicial;Valor nom. Acc. Part.;Núm. total acc/part;Socis;Sòcies (dones);Socis no treballadors;Sòcies no treballadores (dones);Persones jurídiques privades;Persones jurídiques públiques;Year
B43909019;6694;CONSTRUCCIONS I REFORMES RUDI I GABY, SLL;2007-10-26;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. DOTZE D'OCTUBRE núm. 30 Pis ENTL;[ 43540 ];Sant Carles De La Ràpita;Montsià;TARRAGONA;6000.0;100.0;60;2;0;0;1;0;0;2023
B64602683;6692;MES K GOSSOS, SERVEIS CANINS, SLL;2007-10-22;[ 7500 ];Activitats veterinàries;SERVEIS;C. ARAGÓ núm. 33;[ 08783 ];Masquefa (Maset, El);Anoia;BARCELONA;3006.0;1.0;3006;1;1;1;2;0;0;2023
B64634124;6691;INVERSIONES JUDIBANA AMUAY, SLL;2007-10-22;[ 4615 ];Intermediaris del comerç de mobles, articles per a la llar i ferreteria;SERVEIS;C. SARDENYA núm. 209 Pis BAIXOS;[ 08013 ];Barcelona;Barcelonès;BARCELONA;3600.0;1.0;3600;0;2;1;0;0;0;2023
B43910876;6690;C & E BASSEDAS 2007, SLL;2007-10-18;[ 5630 ];Establiments de begudes;SERVEIS;moll DE LLEVANT  núm. LB3 Nau LOCAL B;[ 43007 ];Tarragona;Tarragonès;TARRAGONA;39000.0;1000.0;39;0;2;1;0;0;0;2023
B64594054;6689;CONTROL Y APLICACION DE LIMPIEZA INDUSTRIAL, SLL;2007-10-16;[ 4339 ];Altres treballs d'acabament d'edificis;CONSTRUCCIÓ;C. MOSSÈN JACINT VERDAGUER núm. 21 Pis ENTL. Porta 4a.;[ 08830 ];Sant Boi De Llobregat;Baix Llobregat;BARCELONA;3006.0;1.0;3006;1;1;0;1;0;0;2023
B64633944;6688;NAFEN AIXOL GURB, SLL;2007-10-15;[ 4615 ];Intermediaris del comerç de mobles, articles per a la llar i ferreteria;SERVEIS;C. OLESA, 63;[ 08503 ];Gurb;Osona;BARCELONA;90000.0;10.0;9000;1;2;1;0;0;0;2023
B64625726;6687;SORTIRAB 2007, SLL;2007-10-15;[ 7410 ];Activitats de disseny especialitzat;SERVEIS;C. LLULL núm. 151 Pis 2n. Porta 2a.;[ 08005 ];Barcelona;Barcelonès;BARCELONA;78000.0;10.0;7800;1;1;1;0;0;0;2023
B64584543;6685;DEBMA MARESME BCN, SLL;2007-10-11;[ 4652 ];Comerç a l'engròs d'equips electrònics i de telecomunicacions i els seus components;SERVEIS;gv CORTS CATALANES núm. 934 Pis 5E Porta 4A;[ 08018 ];Barcelona;Barcelonès;BARCELONA;51000.0;1.0;51000;1;1;0;1;0;0;2023
B64534712;6683;ERIKMICHEL & EDUENRIC RESTAURACION, SLL;2007-10-09;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. PROVENÇA núm. 332;[ 08037 ];Barcelona;Barcelonès;BARCELONA;69000.0;100.0;690;2;1;0;1;0;0;2023
B17960352;6682;INSTAL.LACIONS JONI I JAUME, SLL;2007-10-08;[ 453 ];Instal·lacions d'edificis i obres;CONSTRUCCIÓ;C. ALBANYÀ,  núm. 22;[ 17740 ];Vilafant;Alt Empordà;GIRONA;3006.0;1.0;3006;2;0;1;1;0;0;2023
B64479330;6678;RESTAURACIO MONTMELO, SLL;2007-10-02;[ 55 ];Hoteleria;SERVEIS;AV. MIL·LENARI,  núm. 12 Pis baixos;[ 08160 ];Montmeló;Vallès Oriental;BARCELONA;3006.0;1.0;3006;1;1;1;0;0;0;2023
B17965211;6675;INFOTELEGI MORENO-BARBERA, SLL;2007-09-28;[ 72 ];Activitats informàtiques;SERVEIS;C. MARQUES CALDES DE MONTBUI;[ 17003 ];Girona;Gironès;GIRONA;30030.0;10.0;3003;1;1;1;0;0;0;2023
B64580715;6673;AKIOMY ISLA DEL ENCANTO, SLL;2007-09-26;[ 55 ];Hoteleria;SERVEIS;C. GUITARD núm. 15 Pis ÀTIC Porta 1A.;[ 08014 ];Barcelona;Barcelonès;BARCELONA;3120.0;1.0;3120;1;1;1;0;0;0;2023
B64598147;6669;ROBLES CUENCA, SLL;2007-09-17;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. PLINI EL VELL núm. 25 Pis 3R Porta 1A;[ 08207 ];Sabadell;Vallès Occidental;BARCELONA;60000.0;1.0;3015;2;0;0;1;0;0;2023
B64600315;6664;VIATGES AMARYLLIS XXI, SLL;2007-09-07;[ 7911 ];Activitats de les agències de viatges;SERVEIS;PL. LLUIS RIGALTS núm. 5 Pis BAIXOS;[ 08760 ];Martorell;Baix Llobregat;BARCELONA;60200.0;1.0;60200;0;2;1;1;0;0;2023
B64592397;6662;CARNICERIA DEL RETIRO, SLL;2007-09-05;[ 4722 ];Comerç al detall de carn i productes carnis en establiments especialitzats;SERVEIS;C. CAMP núm. 23;[ 08290 ];Cerdanyola Del Vallès;Vallès Occidental;BARCELONA;69000.0;1.0;69000;1;1;1;0;0;0;2023
B17959396;6660;INOXIDABLES EMPORDA, SLL;2007-08-31;[ 2561 ];Tractament i revestiment de metalls;INDÚSTRIA;urb. MAS GROS. C/ DEL TERME núm. 10;[ 17473 ];Ventalló;Alt Empordà;GIRONA;96000.0;10.0;9600;2;0;0;2;0;0;2023
B64538382;6651;PAVIMENTOS DEL VALLES MAFRAN, SLL;2007-08-23;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. Consell de Cent núm. 85 Pis 2 Porta 2;[ 08226 ];Terrassa;Vallès Occidental;BARCELONA;54000.0;10.0;5400;3;0;0;0;0;0;2023
B64600018;6649;CUBE TEXTILES A3, SLL;2007-08-22;[ 4641 ];Comerç a l'engròs de tèxtils;SERVEIS;AV. JAUME I, núm. 94 Esc. C Pis 1r;[ 08880 ];Cubelles;Garraf;BARCELONA;3009.0;1.0;3009;1;1;0;1;0;0;2023
B64560493;6647;DERRIBOS MOSVEM, SLL;2007-08-22;[ 4311 ];Demolició d'immobles;CONSTRUCCIÓ;C. MARE DE DEU DEL CARME núm. 94;[ 08930 ];Sant Adrià De Besòs;Barcelonès;BARCELONA;55500.0;10.0;5550;3;0;0;0;0;0;2023
B64375959;6637;CREACIO DE MOSTRARIS, SLL;2007-07-25;[ 74141 ];Activitats d'assessorament en direcció i gestió empresarial;SERVEIS;CTRA. DEL PRAT núm. 36 Pis 2N Porta 4A;[ 08038 ];Barcelona;Barcelonès;BARCELONA;6000.0;1.0;6000;0;2;0;1;0;0;2023
B64460207;6630;BACKSTAGE RCL BARCELONA SERVEIS INTEGRALS DE LA MODA, SLL;2007-07-13;[ 9602 ];Perruqueria i altres tractaments de bellesa;SERVEIS;C. ARAGÓ,  núm. 316 Pis 3r Porta 2a;[ 08009 ];Barcelona;Barcelonès;BARCELONA;3009.0;1.0;3009;0;3;0;0;0;0;2023
B64503154;6627;COMERCIAL DE PRODUCTOS DE ASPRIMAT, SLL;2007-07-09;[ 4643 ];Comerç a l'engròs d'aparells electrodomèstics i d'aparells de ràdio i televisió;SERVEIS;AV. SANT JULIÀ núm. 260-66 Nau M;[ 08400 ];Granollers;Vallès Oriental;BARCELONA;80000.0;10.0;8000;2;0;1;1;0;0;2023
B25637174;6625;INTEGRADORES DE SERVICIOS DE TELECOMUNICACIONES 2010, SLL;2007-07-05;[ 4754 ];Comerç al detall d'electrodomèstics en establiments especialitzats;SERVEIS;C. BARÓ D'EROLES núm. 8 Pis 5È Porta 2A;[ 25008 ];Lleida;Segrià;LLEIDA;50000.0;100.0;500;2;1;1;0;0;0;2023
B64555568;6623;EQUIPO A Y C&R ASOCIADOS, SLL;2007-07-04;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. ASTURIAS,  núm. 2 Pis pral. Porta 2a;[ 08012 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;2;1;0;0;0;0;2023
B64544489;6621;PC ALNET SERVEIS ELECTRONICS, SLL;2007-07-02;[ 516 ];Comerç a l'engròs de maquinària i equips;SERVEIS;C. JOAQUIM VALLS núm. 121 Pis BAIXOS;[ 08031 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;1;1;1;0;0;0;2023
B64537806;6620;VIATGES RUTLLA, SLL;2007-07-02;[ 7911 ];Activitats de les agències de viatges;SERVEIS;C. NARCÍS MONTURIOL núm. 4;[ 08191 ];Rubí;Vallès Occidental;BARCELONA;60102.0;1.0;60102;0;2;0;1;0;0;2023
B64550932;6617;ESLEGAL, SLL;2007-06-28;[ 8559 ];Altres activitats d'educació ncaa;SERVEIS;PL. LLUIS PERPINYÀ núm. 4 Pis PPAL.;[ 08400 ];Granollers;Vallès Oriental;BARCELONA;54000.0;1.0;54000;1;1;0;1;0;0;2023
B25633223;6611;ZONA MAKING OF, SLL;2007-06-25;[ 8042 ];Ensenyament per a adults i altres tipus d'ensenyament ncaa;SERVEIS;C. ALBIZIES,  núm. 8;[ 25150 ];Artesa De Lleida;Segrià;LLEIDA;3150.0;150.0;21;1;1;0;1;0;0;2023
B17945551;6610;DARGUILA, SLL;2007-06-25;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;CTRA. DARNIUS Km. 2;[ 17722 ];Darnius;Alt Empordà;GIRONA;72000.0;40.0;1800;2;0;1;1;0;0;2023
B64378714;6605;ABRERA SONDEOS, SLL;2007-06-18;[ 4313 ];Perforacions i sondatges;CONSTRUCCIÓ;C. BAIX LLOBREGAT - CAN VILL núm. 51;[ 08630 ];Abrera;Baix Llobregat;BARCELONA;3006.0;1.0;3006;1;1;1;0;0;0;2023
B43898881;6604;BARBLANC LA RAPITA, SLL;2007-06-18;[ 55 ];Hoteleria;SERVEIS;C. SANT ISIDRE núm. 299;[ 43540 ];Sant Carles De La Ràpita;Montsià;TARRAGONA;60000.0;100.0;600;1;1;1;1;0;0;2023
B64533748;6603;REBOCOS Y YESOS CATALUNYA, SLL;2007-06-18;[ 4331 ];Arrebossat;CONSTRUCCIÓ;C. VALÈNCIA núm. 646 Pis ENTL Porta 1A;[ 08207 ];Barcelona;Barcelonès;BARCELONA;3010.0;1.0;3010;1;1;1;1;0;0;2023
B63848303;6601;TAURASANA, SLL;2007-06-18;[ 55 ];Hoteleria;SERVEIS;C. BRUIXES núm. 139-141 Bloc LOCAL 2;[ 08202 ];Sabadell;Vallès Occidental;BARCELONA;53000.0;1.0;53000;1;1;0;1;0;0;2023
B64345796;6600;LA BARRACA DE PLATA, SLL;2007-06-18;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. MIQUEL ROMEU núm. 125;[ 08901 ];Hospitalet De Llobregat, L';Barcelonès;BARCELONA;3006.0;1.0;3006;1;1;0;1;0;0;2023
B64525702;6599;GARU-LLINARS, SLL;2007-06-15;[ 4520 ];Manteniment i reparació de vehicles de motor;SERVEIS;C. PALAUTORDERA Polígon CAN PRAT;[ 08450 ];Llinars Del Vallès;Vallès Oriental;BARCELONA;100500.0;10.0;10050;2;0;0;1;0;0;2023
B64526312;6597;INLEDIS, SLL;2007-06-14;[ 1813 ];Activitats de preimpressió i de preparació de suports;INDÚSTRIA;C. G. VIA DE LES CORTS CATALANES;[ 08018 ];Barcelona;Barcelonès;BARCELONA;54000.0;100.0;540;3;0;0;0;0;0;2023
B64525017;6596;FACTOR 5 OBRA CIVIL, SLL;2007-06-14;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;RBLA. SANT NEBRIDI núm. 39 Pis LOCAL;[ 08228 ];Terrassa;Vallès Occidental;BARCELONA;3006.0;1.0;3006;2;0;1;0;0;0;2023
B64509045;6595;COPEC MOLLET, SLL;2007-06-14;[ 4752 ];Comerç al detall de ferreteria, pintures i vidre en establiments especialitzats;SERVEIS;C. ÀNGEL GUIMERÀ,  núm. 29;[ 08100 ];Mollet Del Vallès;Vallès Oriental;BARCELONA;55500.0;10.0;10000;2;0;0;1;0;0;2023
A64472566;6593;ASESORIA Y GESTORIA INDRETS, SAL;2007-06-11;[ 6910 ];Activitats jurídiques;SERVEIS;PL. CARDONA núm. 7-8 Bloc LOCAL 20;[ 08006 ];Barcelona;Barcelonès;BARCELONA;62100.0;23.0;2700;2;0;0;2;0;0;2023
B64502784;6583;TRAPITOS ACCESORIOS Y COMPLEMENTOS NAOMI, SLL;2007-05-24;[ 4751 ];Comerç al detall de tèxtils en establiments especialitzats;SERVEIS;C. SALVADOR LLUCH núm. 23 Pis 1R Porta 4A;[ 08850 ];Gavà;Baix Llobregat;BARCELONA;3006.0;1.0;3006;0;2;0;1;0;0;2023
B64517899;6581;BUITANTU, SLL;2007-05-23;[ 4616 ];Intermediaris del comerç de tèxtils, peces de vestir, calçat i articles de cuir;SERVEIS;C. ARQUÍMEDES,  núm. 121 Pis 1r Porta 1a;[ 08228 ];Terrassa;Vallès Occidental;BARCELONA;6000.0;1.0;6000;2;0;2;0;0;0;2023
B64428162;6580;VIDEO QTS 2007, SLL;2007-05-23;[ 7729 ];Lloguer d'efectes personals i efectes domèstics ncaa;SERVEIS;RBLA. MARINA núm. 307 Pis ALTELL A;[ 08907 ];Hospitalet De Llobregat, L';Barcelonès;BARCELONA;3100.0;1.0;3100;2;2;0;0;0;0;2023
B64451800;6573;HPS SERVEIS JURIDICS I LEGALS, SLL;2007-05-14;[ 6910 ];Activitats jurídiques;SERVEIS;AV. Diagonal núm. 331 Pis 1r. Porta 1ª;[ 08009 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;0;3;0;0;0;0;2023
B17940396;6569;GELATS I TORRONS CANDELA, SLL;2007-05-02;[ 1052 ];Elaboració de gelats;INDÚSTRIA;AV. PRESIDENT MACIÀ núm. 4 Pis baixos;[ 17230 ];Palamós;Baix Empordà;GIRONA;3060.0;1.0;3060;1;1;0;1;0;0;2023
B64449127;6565;NEOCLIMA 2007, SLL;2007-04-27;[ 4322 ];Lampisteria, instal·lacions de calefacció i aire condicionat;CONSTRUCCIÓ;C. MEDITERRÀNIA núm. 25 Pis BAIXOS;[ 08850 ];Gavà;Baix Llobregat;BARCELONA;45000.0;1.0;45000;2;0;0;2;0;0;2023
B64414477;6559;CONSTRUCCIONES PUNATA, SLL;2007-04-18;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. FONT núm. 14;[ 08905 ];Hospitalet De Llobregat, L';Barcelonès;BARCELONA;3006.0;1.0;3006;2;0;1;0;0;0;2023
B64474299;6558;RECYCLING COMELLES, SLL;2007-04-16;[ 52488 ];Altres tipus de comerç al detall;SERVEIS;C. CAN COMELLES núm. 2 BIS Pis BAIXOS;[ 08292 ];Esparreguera;Baix Llobregat;BARCELONA;50000.0;1.0;50000;2;0;0;2;0;0;2023
B64426984;6557;ABSTRACT EVENTS, SLL;2007-04-13;[ 7311 ];Agències de publicitat;SERVEIS;C. DEL FRESER, núm. 52-54 Esc. LOCAL;[ 08026 ];Barcelona;Barcelonès;BARCELONA;66000.0;10.0;66000;2;0;0;2;0;0;2023
B64448582;6556;MANCOB HERMANAS, SLL;2007-04-13;[ 9329 ];Altres activitats recreatives i d'entreteniment ncaa;SERVEIS;C. FRANCESC MACIÀ núm. 64-68;[ 08190 ];Sant Cugat Del Vallès;Vallès Occidental;BARCELONA;36480.0;1.0;36480;0;3;0;0;0;0;2023
B64267735;6555;CUINA PROPIA, SLL;2007-04-13;[ 5629 ];Altres serveis de menjars;SERVEIS;C. Arrabal de santa magdalena núm. 36 Pis 3r Porta 1a;[ 08800 ];Vilanova I La Geltrú;Garraf;BARCELONA;3015.0;1.0;3015;0;3;0;1;0;0;2023
B43840719;6554;INDUSTRIALIZACION MAQUINAS INYECCION, SLL;2007-04-13;[ 2829 ];Fabricació d'altre tipus de maquinària d'ús general ncaa;INDÚSTRIA;RBLA. PRESIDENT FRANCESC MACIÀ núm. 2 D Pis 5E Porta 2A;[ 43005 ];Tarragona;Tarragonès;TARRAGONA;20000.0;1.0;20000;4;0;0;0;0;0;2023
B64439870;6552;SANTOS GIMENEZ, SERVEIS MEDICS, SLL;2007-04-04;[ 8621 ];Activitats de medicina general;SERVEIS;C. MOLAS núm. 34 Pis 2N Porta 1A;[ 08302 ];Mataró;Maresme;BARCELONA;3006.0;1.0;3006;1;1;1;1;0;0;2023
B64427925;6550;EGAROBA EXTREMA, SLL;2007-03-28;[ 4771 ];Comerç al detall de peces de vestir en establiments especialitzats;SERVEIS;C. PAU IGLESIAS núm. 30 Bloc LOCAL 1;[ 08228 ];Terrassa;Vallès Occidental;BARCELONA;27000.0;10.0;2700;1;1;1;0;0;0;2023
B64444763;6545;SEIS MAQUINARIA, SLL;2007-03-14;[ 7112 ];Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessorament tècnic;SERVEIS;C. BALMES nºm. 150 Pis 6A;[ 08008 ];Barcelona;Barcelonès;BARCELONA;67500.0;1.0;67500;3;0;0;0;0;0;2023
B64430226;6543;TABERNA URBANA, SLL;2007-03-14;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. COMTE BORRELL núm. 160 LOCAL;[ 08015 ];Barcelona;Barcelonès;BARCELONA;177000.0;1000.0;177;4;1;0;2;0;0;2023
B64423882;6542;CORIM PARK, SLL;2007-03-13;[ 9329 ];Altres activitats recreatives i d'entreteniment ncaa;SERVEIS;CTRA. MARTORELL - CAPELLADES Polígon I. PEDROSA Nau 1;[ 08783 ];Masquefa;Anoia;BARCELONA;36000.0;1000.0;36;2;1;0;0;0;0;2023
B43873314;6540;INSTAL·LACIONS I MANTENIMENTS TERRES DE L'EBRE, SLL;2007-03-12;[ 4322 ];Lampisteria, instal·lacions de calefacció i aire condicionat;CONSTRUCCIÓ;C. CARLES I núm. 11 Pis BAIXOS;[ 43870 ];Amposta;Montsià;TARRAGONA;44722.0;379.0;118;2;0;0;2;0;0;2023
B64308216;6537;TISOV RESTAURACION, SLL;2007-03-07;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;PL. SOLER I CARBONELL núm. 36 Pis BAIXOS;[ 08800 ];Vilanova I La Geltrú;Garraf;BARCELONA;36000.0;1.0;36000;0;2;2;0;0;0;2023
B64460777;6532;AGENCIA DE VIAJES DALAI TOUR, SLL;2007-02-26;[ 7911 ];Activitats de les agències de viatges;SERVEIS;CTRA. DE BARCELONA núm. 282-28;[ 08210 ];Barberà Del Vallès;Vallès Occidental;BARCELONA;60105.0;1.0;60105;0;2;1;0;0;0;2023
B64342652;6520;SANTBIERI CLIMA-SOLD, SLL;2007-02-05;[ 4321 ];Instal·lacions elèctriques;CONSTRUCCIÓ;C. DIPUTACIO núm. 424;[ 08013 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;1;1;1;0;0;0;2023
B64404015;6513;ESSEKAFE, SLL;2007-01-18;[ 5630 ];Establiments de begudes;SERVEIS;C. PURLOM núm. 6 Bloc LOCAL 1;[ 08630 ];Abrera;Baix Llobregat;BARCELONA;30000.0;10.0;3000;1;2;1;1;0;0;2023
B64342637;6511;PELU, CARS Y MAS, SLL;2007-01-17;[ 9602 ];Perruqueria i altres tractaments de bellesa;SERVEIS;PG. PASSEIG MARAGALL núm. 316 Bis;[ 08031 ];Barcelona;Barcelonès;BARCELONA;3006.0;1.0;3006;1;1;1;0;0;0;2023
B64400658;6510;CARNS RADUA, SLL;2007-01-17;[ 4632 ];Comerç a l'engròs de carn i productes carnis;SERVEIS;C. SANT VICENÇ núm. 4-A Pis 1R  Porta 2N;[ 08290 ];Cerdanyola Del Vallès;Vallès Occidental;BARCELONA;4200.0;100.0;42;1;1;1;0;0;0;2023
B64393135;6509;CRISTALERIES ABRERA, SLL;2007-01-11;[ 4334 ];Pintura i vidrieria;CONSTRUCCIÓ;C. ANTONI GAUDÍ núm. 61;[ 08630 ];Abrera;Baix Llobregat;BARCELONA;60000.0;1.0;60000;2;0;0;1;0;0;2023
B64383318;6508;METIRI CONSULTING, SLL;2007-01-11;[ 7112 ];Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessorament tècnic;SERVEIS;C. RECTOR TRIADÓ núm. 52 Pis BAIXOS;[ 08014 ];Barcelona;Barcelonès;BARCELONA;11344900.0;100.0;113449;3;0;0;2;0;0;2023
B43876747;6503;LA GARGOLA MUSICAL, SLL;2007-01-04;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. NAVARRA núm. 44;[ 43870 ];Amposta;Montsià;TARRAGONA;3009.0;1.0;3009;1;2;0;0;0;0;2023
B64380991;6502;HEPTAPLUS, SLL;2007-01-04;[ 2899 ];Fabricació d'altres tipus de maquinària per a usos específics ncaa;INDÚSTRIA;C. WATT núm. 109;[ 08228 ];Terrassa;Vallès Occidental;BARCELONA;3200.0;200.0;16;0;3;0;1;0;0;2023
B63566327;6499;EL CELLER DE CAN BALAGUE DEL BRUC, SLL;2006-12-21;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;C. BRUC DE BAIX núm. 1;[ 08294 ];Bruc, El;Anoia;BARCELONA;3012.0;1.0;3012;1;1;0;1;0;0;2023
B64134059;6491;NIMAN SUB, SLL;2006-12-11;[ 52483 ];Comerç al detall de joguines i articles d'esport;SERVEIS;C. TARRAGONA núm. 36;[ 08319 ];Dosrius;Maresme;BARCELONA;12000.0;100.0;120;1;1;1;0;0;0;2023
B64277700;6476;INMOFOR CONSULTING, SLL;2006-11-16;[ 7320 ];Estudis de mercat i enquestes d'opinió pública;SERVEIS;AV. DIAGONAL núm. 331 Pis 1R Porta 1A;[ 08009 ];Barcelona;Barcelonès;BARCELONA;90000.0;1.0;90000;3;0;0;0;0;0;2023
B25597691;6462;GLOBALCLIMA BALAFIA, SLL;2006-11-02;[ 4322 ];Lampisteria, instal·lacions de calefacció i aire condicionat;CONSTRUCCIÓ;PL. DE LES MAGNÒLIES núm. 2 Pis BAIXOS;[ 25005 ];Lleida;Segrià;LLEIDA;3300.0;100.0;33;1;1;0;1;0;0;2023
B64274608;6443;PISCO ESCALANTE MALGOR, SLL;2006-09-28;[ 64200 ];Telecomunicacions;SERVEIS;C. ANSELM CLAVÉ,  núm. 19 Pis àtic;[ 08940 ];Cornellà De Llobregat;Baix Llobregat;BARCELONA;3300.0;1.0;3300;1;1;0;1;0;0;2023
